Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,7807.882324,7696.393066,8268.712891,7994.416504,7994.416504,0
2019-05-15,7989.376953,7899.106445,8216.420898,8205.168945,8205.168945,0
2019-05-16,8194.498047,7729.606445,8320.824219,7884.912109,7884.912109,0
2019-05-17,7886.926270,7038.125000,7929.145508,7343.896484,7343.896484,0
2019-05-20,8196.922852,7678.780762,8200.969727,7978.312012,7978.312012,0
2019-05-21,7977.967773,7843.339844,8062.168945,7963.330078,7963.330078,0
2019-05-22,7956.291504,7615.989258,7997.613281,7680.066406,7680.066406,0
2019-05-23,7677.266113,7533.194824,7943.789551,7881.848145,7881.848145,0
2019-05-24,7881.692383,7824.451172,8140.717773,7987.373047,7987.373047,0
2019-05-27,8674.072266,8668.704102,8907.177734,8805.778320,8805.778320,0
2019-05-28,8802.754883,8634.721680,8807.018555,8719.961914,8719.961914,0
2019-05-29,8718.592773,8482.728516,8755.854492,8659.485352,8659.485352,0
2019-05-30,8661.758789,8221.270508,9008.310547,8319.474609,8319.474609,0
2019-05-31,8320.284180,8172.552246,8586.661133,8574.498047,8574.498047,0
2019-06-03,8741.748047,8204.185547,8743.498047,8208.995117,8208.995117,0
2019-06-04,8210.982422,7564.491211,8210.982422,7707.770508,7707.770508,0
2019-06-05,7704.344238,7668.670410,7901.846680,7824.229980,7824.229980,0
2019-06-06,7819.635254,7571.473145,7937.339355,7822.020508,7822.020508,0
2019-06-07,7826.899902,7788.374512,8126.150879,8043.952148,8043.952148,0
2019-06-10,7692.284180,7586.729980,8031.909668,8000.333008,8000.333008,0
2019-06-11,8004.246094,7772.804199,8026.397461,7927.711914,7927.711914,0
2019-06-12,7925.430664,7862.358887,8196.647461,8145.855957,8145.855957,0
2019-06-13,8145.544434,8087.062012,8311.570313,8230.926758,8230.926758,0
2019-06-14,8230.899414,8183.393066,8710.634766,8693.830078,8693.830078,0
2019-06-17,8988.925781,8988.925781,9416.408203,9320.350586,9320.350586,0
2019-06-18,9335.463867,9004.904297,9348.371094,9081.761719,9081.761719,0
2019-06-19,9078.726563,9070.393555,9299.618164,9273.521484,9273.521484,0
2019-06-20,9273.056641,9232.485352,9594.424805,9527.157227,9527.157227,0
2019-06-21,9525.070313,9525.070313,10144.559570,10144.559570,10144.559570,0
2019-06-24,10853.745117,10610.428711,11065.900391,11011.106445,11011.106445,0
2019-06-25,11007.203125,11007.203125,11790.923828,11790.923828,11790.923828,0
2019-06-26,11778.577148,11755.591797,13796.490234,13016.223633,13016.223633,0
2019-06-27,13017.121094,10491.847656,13311.148438,11182.804688,11182.804688,0
2019-06-28,11162.171875,10914.492188,12445.178711,12407.333008,12407.333008,0
2019-07-01,10796.931641,10089.310547,11206.440430,10583.129883,10583.129883,0
2019-07-02,10588.688477,9737.884766,10912.194336,10801.678711,10801.678711,0
2019-07-03,10818.155273,10818.155273,11968.079102,11961.264648,11961.264648,0
2019-07-04,11972.721680,11166.571289,12006.070313,11215.439453,11215.439453,0
2019-07-05,11203.101563,10874.966797,11395.661133,10978.454102,10978.454102,0
2019-07-08,11446.598633,11393.375977,12345.831055,12285.962891,12285.962891,0
2019-07-09,12284.333008,12233.268555,12779.128906,12573.808594,12573.808594,0
2019-07-10,12571.532227,11710.973633,13129.528320,12156.517578,12156.517578,0
2019-07-11,12139.708008,11158.920898,12144.618164,11358.666992,11358.666992,0
2019-07-12,11354.294922,11179.142578,11905.485352,11815.987305,11815.987305,0
2019-07-15,10257.840820,9992.006836,11052.764648,10895.084961,10895.084961,0
2019-07-16,10896.653320,9448.107422,10996.636719,9477.639648,9477.639648,0
2019-07-17,9471.212891,9163.131836,9963.135742,9693.801758,9693.801758,0
2019-07-18,9698.502930,9376.798828,10736.848633,10666.484375,10666.484375,0
2019-07-19,10653.960938,10229.624023,10716.976563,10530.727539,10530.727539,0
2019-07-22,10596.947266,10154.923828,10651.793945,10343.101563,10343.101563,0
2019-07-23,10346.750977,9883.590820,10346.750977,9900.764648,9900.764648,0
2019-07-24,9887.734375,9614.302734,9908.799805,9811.924805,9811.924805,0
2019-07-25,9809.095703,9773.958008,10154.252930,9911.843750,9911.843750,0
2019-07-26,9913.130859,9717.984375,9916.512695,9870.304688,9870.304688,0
2019-07-29,9548.180664,9472.944336,9681.648438,9519.150391,9519.150391,0
2019-07-30,9522.331055,9437.336914,9701.758789,9607.421875,9607.421875,0
2019-07-31,9604.053711,9598.099609,10085.626953,10085.626953,10085.626953,0
2019-08-01,10077.444336,9922.022461,10446.918945,10399.669922,10399.669922,0
2019-08-02,10402.039063,10371.012695,10657.947266,10518.178711,10518.178711,0
2019-08-05,10960.730469,10960.730469,11895.089844,11805.650391,11805.650391,0
2019-08-06,11811.549805,11290.733398,12273.824219,11478.169922,11478.169922,0
2019-08-07,11476.194336,11433.707031,12036.997070,11941.966797,11941.966797,0
2019-08-08,11954.043945,11556.164063,11979.418945,11966.403320,11966.403320,0
2019-08-09,11953.471680,11709.739258,11970.457031,11862.930664,11862.930664,0
2019-08-12,11528.188477,11320.951172,11528.188477,11382.611328,11382.611328,0
2019-08-13,11385.047852,10830.329102,11420.048828,10895.833008,10895.833008,0
2019-08-14,10889.485352,10028.138672,10889.557617,10051.706055,10051.706055,0
2019-08-15,10038.416992,9675.315430,10437.411133,10311.542969,10311.542969,0
2019-08-16,10319.416992,9855.479492,10524.355469,10374.337891,10374.337891,0
2019-08-19,10350.284180,10313.201172,10916.053711,10916.053711,10916.053711,0
2019-08-20,10916.350586,10618.958008,10947.039063,10763.231445,10763.231445,0
2019-08-21,10764.575195,9962.719727,10798.727539,10138.049805,10138.049805,0
2019-08-22,10142.522461,9831.458984,10232.995117,10131.055664,10131.055664,0
2019-08-23,10136.313477,10078.197266,10442.446289,10407.960938,10407.960938,0
2019-08-26,10126.295898,10126.295898,10512.329102,10370.818359,10370.818359,0
2019-08-27,10372.830078,10087.305664,10381.326172,10185.498047,10185.498047,0
2019-08-28,10203.425781,9716.652344,10279.362305,9754.422852,9754.422852,0
2019-08-29,9756.783203,9421.633789,9756.783203,9510.196289,9510.196289,0
2019-08-30,9514.847656,9428.305664,9656.125977,9598.171875,9598.171875,0
2019-09-02,9757.477539,9730.646484,10396.587891,10346.761719,10346.761719,0
2019-09-03,10345.722656,10308.544922,10736.098633,10623.538086,10623.538086,0
2019-09-04,10621.179688,10434.709961,10762.640625,10594.488281,10594.488281,0
2019-09-05,10588.184570,10516.418945,10627.274414,10575.531250,10575.531250,0
2019-09-06,10578.193359,10292.300781,10898.766602,10353.306641,10353.306641,0
2019-09-09,10443.231445,10144.930664,10450.314453,10334.977539,10334.977539,0
2019-09-10,10336.408203,10020.572266,10394.350586,10115.979492,10115.979492,0
2019-09-11,10123.035156,9980.777344,10215.944336,10178.375977,10178.375977,0
2019-09-12,10176.822266,10099.245117,10442.250000,10410.127930,10410.127930,0
2019-09-13,10415.364258,10226.601563,10441.487305,10360.546875,10360.546875,0
2019-09-16,10347.221680,10189.743164,10386.869141,10276.794922,10276.794922,0
2019-09-17,10281.517578,10199.741211,10296.773438,10241.274414,10241.274414,0
2019-09-18,10247.791992,10191.466797,10275.929688,10198.243164,10198.243164,0
