"Date","Price","Open","High","Low","Change %"
"Dec 24, 2020","6.5300","6.5406","6.5406","6.5265","-0.15"
"Dec 23, 2020","6.5400","6.5493","6.5557","6.5324","-0.04"
"Dec 22, 2020","6.5426","6.5426","6.5547","6.5394","-0.06"
"Dec 21, 2020","6.5467","6.5471","6.5564","6.5462","0.18"
"Dec 18, 2020","6.5348","6.5330","6.5462","6.5317","0.04"
"Dec 17, 2020","6.5321","6.5280","6.5425","6.5269","-0.00"
"Dec 16, 2020","6.5323","6.5366","6.5465","6.5241","-0.10"
"Dec 15, 2020","6.5388","6.5455","6.5568","6.5380","-0.14"
"Dec 14, 2020","6.5480","6.5325","6.5525","6.5325","0.05"
"Dec 11, 2020","6.5445","6.5375","6.5493","6.5352","0.02"
"Dec 10, 2020","6.5435","6.5460","6.5538","6.5398","0.04"
"Dec 09, 2020","6.5410","6.5293","6.5467","6.5194","0.16"
"Dec 08, 2020","6.5307","6.5333","6.5398","6.5199","0.02"
"Dec 07, 2020","6.5295","6.5295","6.5440","6.5280","-0.01"
"Dec 04, 2020","6.5301","6.5431","6.5529","6.5268","-0.18"
"Dec 03, 2020","6.5418","6.5540","6.5664","6.5423","-0.31"
"Dec 02, 2020","6.5622","6.5639","6.5692","6.5519","-0.13"
"Dec 01, 2020","6.5705","6.5789","6.5875","6.5606","-0.08"
"Nov 30, 2020","6.5760","6.5768","6.5950","6.5708","0.03"
"Nov 27, 2020","6.5738","6.5730","6.5848","6.5714","-0.00"
"Nov 26, 2020","6.5741","6.5654","6.5780","6.5622","-0.01"
"Nov 25, 2020","6.5750","6.5915","6.5915","6.5724","-0.23"
"Nov 24, 2020","6.5900","6.5778","6.5931","6.5736","0.08"
"Nov 23, 2020","6.5850","6.5548","6.5862","6.5532","0.37"
"Nov 20, 2020","6.5608","6.5743","6.5823","6.5604","-0.28"
"Nov 19, 2020","6.5789","6.5605","6.5941","6.5599","0.31"
"Nov 18, 2020","6.5588","6.5579","6.5669","6.5389","0.05"
"Nov 17, 2020","6.5556","6.5847","6.5847","6.5473","-0.42"
"Nov 16, 2020","6.5830","6.5884","6.5919","6.5696","-0.32"
"Nov 13, 2020","6.6039","6.6175","6.6270","6.6041","-0.11"
"Nov 12, 2020","6.6114","6.6311","6.6342","6.6113","-0.28"
"Nov 11, 2020","6.6301","6.6075","6.6334","6.5922","0.23"
"Nov 10, 2020","6.6146","6.6217","6.6283","6.5974","-0.20"
"Nov 09, 2020","6.6280","6.5918","6.6349","6.5628","0.30"
"Nov 06, 2020","6.6080","6.6146","6.6383","6.6065","0.08"
"Nov 05, 2020","6.6027","6.6410","6.6635","6.6034","-0.68"
"Nov 04, 2020","6.6480","6.7067","6.7508","6.6515","-0.42"
"Nov 03, 2020","6.6759","6.6821","6.6975","6.6764","-0.21"
"Nov 02, 2020","6.6899","6.6927","6.7014","6.6811","-0.03"
"Oct 30, 2020","6.6919","6.7150","6.7150","6.6793","-0.33"
"Oct 29, 2020","6.7140","6.7290","6.7290","6.7020","-0.21"
"Oct 28, 2020","6.7279","6.7153","6.7301","6.7070","0.35"
"Oct 27, 2020","6.7044","6.7123","6.7243","6.6965","-0.11"
"Oct 26, 2020","6.7119","6.6853","6.7143","6.6783","0.41"
"Oct 23, 2020","6.6843","6.6845","6.6936","6.6652","0.03"
"Oct 22, 2020","6.6821","6.6511","6.6887","6.6465","0.48"
"Oct 21, 2020","6.6503","6.6767","6.6767","6.6408","-0.38"
"Oct 20, 2020","6.6754","6.6786","6.6944","6.6761","-0.07"
"Oct 19, 2020","6.6803","6.6976","6.7041","6.6818","-0.24"
"Oct 16, 2020","6.6962","6.7190","6.7259","6.6943","-0.40"
"Oct 15, 2020","6.7233","6.7154","6.7355","6.7140","0.14"
"Oct 14, 2020","6.7136","6.7467","6.7483","6.7123","-0.47"
"Oct 13, 2020","6.7452","6.7565","6.7615","6.7323","0.00"
"Oct 12, 2020","6.7451","6.6947","6.7555","6.6947","0.77"
"Oct 09, 2020","6.6933","6.7264","6.7308","6.6933","-1.44"
"Oct 08, 2020","6.7908","6.7908","6.7908","6.7908","0.00"
"Oct 07, 2020","6.7908","6.7908","6.7908","6.7908","0.00"
"Oct 06, 2020","6.7908","6.7908","6.7908","6.7908","0.00"
"Oct 05, 2020","6.7908","6.7908","6.7908","6.7908","0.01"
"Oct 02, 2020","6.7898","6.7908","6.7908","6.7908","0.00"
"Oct 01, 2020","6.7898","6.7908","6.7909","6.7907","0.00"
"Sep 30, 2020","6.7896","6.8130","6.8172","6.7860","-0.37"
"Sep 29, 2020","6.8150","6.8222","6.8277","6.8103","0.06"
"Sep 28, 2020","6.8106","6.8153","6.8281","6.8101","-0.17"
"Sep 25, 2020","6.8220","6.8095","6.8337","6.8095","-0.08"
"Sep 24, 2020","6.8273","6.8095","6.8338","6.8094","0.27"
"Sep 23, 2020","6.8089","6.7922","6.8131","6.7853","0.46"
"Sep 22, 2020","6.7779","6.8052","6.8052","6.7719","-0.39"
"Sep 21, 2020","6.8043","6.7628","6.8066","6.7570","0.54"
"Sep 18, 2020","6.7675","6.7523","6.7769","6.7510","0.07"
"Sep 17, 2020","6.7628","6.7549","6.7804","6.7510","0.15"
"Sep 16, 2020","6.7529","6.7772","6.7780","6.7544","-0.40"
"Sep 15, 2020","6.7801","6.8105","6.8105","6.7692","-0.41"
"Sep 14, 2020","6.8080","6.8344","6.8344","6.8085","-0.37"
"Sep 11, 2020","6.8330","6.8361","6.8396","6.8317","-0.01"
"Sep 10, 2020","6.8335","6.8324","6.8438","6.8270","0.04"
"Sep 09, 2020","6.8308","6.8464","6.8565","6.8312","-0.19"
"Sep 08, 2020","6.8435","6.8305","6.8514","6.8278","0.20"
"Sep 07, 2020","6.8300","6.8304","6.8345","6.8267","-0.16"
"Sep 04, 2020","6.8409","6.8425","6.8479","6.8345","-0.04"
"Sep 03, 2020","6.8435","6.8375","6.8499","6.8243","0.09"
"Sep 02, 2020","6.8375","6.8312","6.8392","6.8221","0.15"
"Sep 01, 2020","6.8272","6.8445","6.8472","6.8114","-0.30"
"Aug 31, 2020","6.8474","6.8622","6.8631","6.8422","-0.25"
"Aug 28, 2020","6.8647","6.8937","6.8937","6.8607","-0.40"
"Aug 27, 2020","6.8925","6.8883","6.8962","6.8742","0.10"
"Aug 26, 2020","6.8855","6.9072","6.9074","6.8860","-0.38"
"Aug 25, 2020","6.9116","6.9100","6.9155","6.9072","-0.09"
"Aug 24, 2020","6.9180","6.9142","6.9214","6.9110","0.00"
"Aug 21, 2020","6.9179","6.9100","6.9261","6.8994","0.05"
"Aug 20, 2020","6.9143","6.9207","6.9296","6.9129","-0.07"
"Aug 19, 2020","6.9192","6.9167","6.9234","6.9040","-0.03"
"Aug 18, 2020","6.9215","6.9357","6.9373","6.9106","-0.15"
"Aug 17, 2020","6.9318","6.9504","6.9504","6.9299","-0.26"
"Aug 14, 2020","6.9501","6.9478","6.9560","6.9402","0.09"
"Aug 13, 2020","6.9440","6.9321","6.9497","6.9309","0.11"
"Aug 12, 2020","6.9363","6.9496","6.9578","6.9347","-0.07"
"Aug 11, 2020","6.9413","6.9618","6.9618","6.9404","-0.28"
"Aug 10, 2020","6.9611","6.9654","6.9745","6.9571","-0.08"
"Aug 07, 2020","6.9670","6.9562","6.9760","6.9527","0.22"
"Aug 06, 2020","6.9520","6.9366","6.9553","6.9355","0.24"
"Aug 05, 2020","6.9353","6.9647","6.9675","6.9352","-0.53"
"Aug 04, 2020","6.9720","6.9833","6.9878","6.9711","-0.11"
"Aug 03, 2020","6.9799","6.9816","6.9875","6.9699","0.08"
"Jul 31, 2020","6.9744","6.9928","6.9930","6.9710","-0.48"
"Jul 30, 2020","7.0080","6.9953","7.0101","6.9924","0.09"
"Jul 29, 2020","7.0014","7.0008","7.0072","6.9942","0.02"
"Jul 28, 2020","6.9998","6.9878","7.0107","6.9874","0.07"
"Jul 27, 2020","6.9950","6.9996","7.0065","6.9955","-0.27"
"Jul 24, 2020","7.0140","7.0040","7.0247","7.0016","0.15"
"Jul 23, 2020","7.0034","7.0084","7.0149","6.9906","0.07"
"Jul 22, 2020","6.9988","6.9742","7.0141","6.9646","0.27"
"Jul 21, 2020","6.9800","6.9838","6.9967","6.9799","-0.04"
"Jul 20, 2020","6.9829","6.9936","7.0023","6.9825","-0.12"
"Jul 17, 2020","6.9912","6.9955","7.0051","6.9913","0.04"
"Jul 16, 2020","6.9881","6.9844","7.0038","6.9837","-0.01"
"Jul 15, 2020","6.9885","6.9931","7.0065","6.9844","-0.25"
"Jul 14, 2020","7.0060","7.0121","7.0216","7.0041","0.14"
"Jul 13, 2020","6.9959","7.0019","7.0068","6.9930","-0.04"
"Jul 10, 2020","6.9990","6.9998","7.0135","6.9976","0.10"
"Jul 09, 2020","6.9923","6.9975","7.0012","6.9802","-0.17"
"Jul 08, 2020","7.0041","7.0233","7.0250","7.0002","-0.12"
"Jul 07, 2020","7.0127","7.0077","7.0284","7.0028","-0.05"
"Jul 06, 2020","7.0159","7.0637","7.0641","7.0157","-0.70"
"Jul 03, 2020","7.0656","7.0670","7.0711","7.0598","-0.01"
"Jul 02, 2020","7.0660","7.0628","7.0730","7.0610","-0.06"
"Jul 01, 2020","7.0703","7.0675","7.0743","7.0567","0.07"
"Jun 30, 2020","7.0651","7.0745","7.0806","7.0620","-0.20"
"Jun 29, 2020","7.0794","7.0825","7.0828","7.0731","0.02"
"Jun 26, 2020","7.0782","7.0782","7.0782","7.0782","0.00"
"Jun 25, 2020","7.0782","7.0782","7.0782","7.0782","0.02"
"Jun 24, 2020","7.0770","7.0576","7.0792","7.0511","0.28"
"Jun 23, 2020","7.0575","7.0684","7.0891","7.0571","-0.15"
"Jun 22, 2020","7.0678","7.0806","7.0826","7.0671","-0.04"
"Jun 19, 2020","7.0707","7.0897","7.0923","7.0704","-0.23"
"Jun 18, 2020","7.0869","7.0922","7.0943","7.0707","0.04"
"Jun 17, 2020","7.0840","7.0871","7.0975","7.0837","-0.02"
"Jun 16, 2020","7.0854","7.0755","7.0887","7.0686","-0.05"
"Jun 15, 2020","7.0887","7.0835","7.0991","7.0835","0.12"
"Jun 12, 2020","7.0805","7.0815","7.0891","7.0712","0.23"
"Jun 11, 2020","7.0640","7.0605","7.0760","7.0553","0.06"
"Jun 10, 2020","7.0599","7.0773","7.0852","7.0569","-0.23"
"Jun 09, 2020","7.0765","7.0750","7.0932","7.0699","0.09"
"Jun 08, 2020","7.0700","7.0834","7.0915","7.0693","-0.15"
"Jun 05, 2020","7.0808","7.1067","7.1149","7.0808","-0.38"
"Jun 04, 2020","7.1075","7.1187","7.1311","7.1062","-0.06"
"Jun 03, 2020","7.1115","7.0912","7.1263","7.0910","0.17"
"Jun 02, 2020","7.0992","7.1153","7.1238","7.0976","-0.35"
"Jun 01, 2020","7.1242","7.1151","7.1400","7.1099","-0.15"
"May 29, 2020","7.1348","7.1577","7.1578","7.1314","-0.14"
"May 28, 2020","7.1447","7.1697","7.1709","7.1441","-0.33"
"May 27, 2020","7.1681","7.1355","7.1800","7.1340","0.48"
"May 26, 2020","7.1340","7.1333","7.1395","7.1259","-0.03"
"May 25, 2020","7.1359","7.1324","7.1451","7.1322","0.13"
"May 22, 2020","7.1269","7.1150","7.1462","7.1130","0.18"
"May 21, 2020","7.1138","7.0935","7.1177","7.0926","0.30"
"May 20, 2020","7.0928","7.1003","7.1112","7.0914","-0.07"
"May 19, 2020","7.0980","7.1017","7.1146","7.0966","-0.15"
"May 18, 2020","7.1086","7.1062","7.1219","7.1013","0.10"
"May 15, 2020","7.1013","7.0990","7.1095","7.0944","0.11"
"May 14, 2020","7.0935","7.0950","7.1034","7.0927","0.03"
"May 13, 2020","7.0911","7.0828","7.0971","7.0823","0.13"
"May 12, 2020","7.0816","7.0958","7.1006","7.0790","-0.22"
"May 11, 2020","7.0972","7.0762","7.0999","7.0712","0.34"
"May 08, 2020","7.0732","7.0744","7.0811","7.0692","-0.13"
"May 07, 2020","7.0825","7.1058","7.1085","7.0842","-0.29"
"May 06, 2020","7.1031","7.0622","7.1061","7.0622","0.58"
"May 05, 2020","7.0622","7.0622","7.0622","7.0622","0.00"
"May 04, 2020","7.0622","7.0622","7.0622","7.0622","0.03"
"May 01, 2020","7.0602","7.0622","7.0622","7.0622","0.00"
"Apr 30, 2020","7.0600","7.0659","7.0675","7.0468","-0.22"
"Apr 29, 2020","7.0755","7.0765","7.0820","7.0704","-0.03"
"Apr 28, 2020","7.0776","7.0834","7.0911","7.0728","-0.06"
"Apr 27, 2020","7.0815","7.0722","7.0915","7.0705","0.00"
"Apr 24, 2020","7.0813","7.0809","7.0893","7.0742","0.23"
"Apr 23, 2020","7.0654","7.0841","7.0888","7.0648","-0.25"
"Apr 22, 2020","7.0831","7.0897","7.0920","7.0775","-0.12"
"Apr 21, 2020","7.0914","7.0823","7.0988","7.0799","0.27"
"Apr 20, 2020","7.0721","7.0802","7.0834","7.0679","0.01"
"Apr 17, 2020","7.0711","7.0678","7.0832","7.0654","-0.09"
"Apr 16, 2020","7.0778","7.0723","7.0840","7.0696","0.16"
"Apr 15, 2020","7.0664","7.0476","7.0686","7.0455","0.30"
"Apr 14, 2020","7.0450","7.0500","7.0629","7.0400","-0.07"
"Apr 13, 2020","7.0501","7.0360","7.0570","7.0360","0.26"
