"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2022","26,650,002","26,950,000","27,424,086","26,451,008","0.01K","-1.11%"
"Apr 04, 2022","26,950,000","27,080,000","27,240,000","26,350,300","0.01K","-0.48%"
"Apr 03, 2022","27,080,000","26,749,998","27,475,000","26,716,618","0.01K","1.23%"
"Apr 02, 2022","26,749,998","26,803,008","27,581,144","26,640,004","0.01K","-0.20%"
"Apr 01, 2022","26,803,008","26,693,302","27,140,000","26,100,100","0.02K","0.41%"
"Mar 31, 2022","26,693,302","27,550,000","27,800,000","26,500,000","0.02K","-3.11%"
"Mar 30, 2022","27,550,000","27,744,776","27,784,588","27,350,000","0.02K","-0.70%"
"Mar 29, 2022","27,744,776","27,698,000","28,113,998","27,552,008","0.02K","0.17%"
"Mar 28, 2022","27,698,000","27,316,456","28,499,990","27,202,000","0.02K","1.40%"
"Mar 27, 2022","27,316,456","25,725,138","27,500,000","25,725,138","0.01K","6.19%"
"Mar 26, 2022","25,725,138","25,801,328","26,020,000","25,555,000","0.01K","-0.30%"
"Mar 25, 2022","25,801,328","25,500,506","26,249,956","25,491,612","0.02K","1.18%"
"Mar 24, 2022","25,500,506","24,850,006","25,700,000","24,726,000","0.02K","2.62%"
"Mar 23, 2022","24,850,006","24,651,196","24,949,996","24,128,000","0.02K","0.81%"
"Mar 22, 2022","24,651,196","23,810,000","24,990,000","23,810,000","0.02K","3.53%"
"Mar 21, 2022","23,810,000","23,906,184","24,199,988","23,528,000","0.01K","-0.40%"
"Mar 20, 2022","23,906,184","24,500,888","24,555,448","22,593,000","0.02K","-2.43%"
"Mar 19, 2022","24,500,888","24,210,368","24,576,000","24,000,000","0.02K","1.20%"
"Mar 18, 2022","24,210,368","23,800,000","24,470,088","23,460,944","0.02K","1.72%"
"Mar 17, 2022","23,800,000","23,837,568","24,099,988","23,400,932","0.02K","-0.16%"
"Mar 16, 2022","23,837,568","22,844,844","24,000,000","22,654,580","0.03K","4.35%"
